iteration	window_type	wind_start_ts	wind_end_ts	wind_duration_ns	kernel_before_bytes	kernel_after_bytes
10	dp-pp	6927254209879736	6927254265186792	55307056	54534144	33554432
10	pp-dp	6927254279828420	6927254280497887	669467	33554432	131338240
10	dp-pp	6927255505180357	6927256867369046	1362188689	54534144	33554432
10	pp-dp	6927256880823855	6927258873454115	1992630260	33554432	525352960
10	dp-pp	6927261454212230	6927261454225190	12960	218136576	33554432
10	pp-dp	6927261462333781	6927261465778086	3444305	33554432	4
10	dp-pp	6927264934852942	6927265067922848	133069906	4	4
10	pp-dp	6927265069385849	6927265083686312	14300463	4	131334144
11	dp-pp	6927266493840716	6927266585489334	91648618	54534144	33554432
11	pp-dp	6927266600855864	6927266601551548	695684	33554432	131338240
11	dp-pp	6927267847119230	6927269187114223	1339994993	54534144	33554432
11	pp-dp	6927269201166311	6927271194285100	1993118789	33554432	525352960
11	dp-pp	6927274003491004	6927274003503899	12895	218136576	33554432
11	pp-dp	6927274011402145	6927274014832615	3430470	33554432	4
11	dp-pp	6927277406447428	6927277520680372	114232944	4	4
11	pp-dp	6927277522088921	6927277536423108	14334187	4	131334144
12	dp-pp	6927278939073805	6927279041384436	102310631	54534144	33554432
12	pp-dp	6927279054943603	6927279055614958	671355	33554432	131338240
12	dp-pp	6927280276245833	6927281639843293	1363597460	54534144	33554432
12	pp-dp	6927281653487290	6927283647520676	1994033386	33554432	525352960
12	dp-pp	6927286470006438	6927286470008486	2048	218136576	33554432
12	pp-dp	6927286477305392	6927286480743639	3438247	33554432	4
12	dp-pp	6927289833408077	6927289959993568	126585491	4	4
12	pp-dp	6927289961164937	6927289976049198	14884261	4	131334144
13	dp-pp	6927291321237591	6927291477801353	156563762	54534144	33554432
13	pp-dp	6927291491897079	6927291492567442	670363	33554432	131338240
13	dp-pp	6927292734371701	6927294088766727	1354395026	54534144	33554432
13	pp-dp	6927294102753866	6927296090825829	1988071963	33554432	525352960
13	dp-pp	6927298609434020	6927298609445604	11584	218136576	33554432
13	pp-dp	6927298617852934	6927298621282764	3429830	33554432	4
13	dp-pp	6927302009500709	6927302127413145	117912436	4	4
13	pp-dp	6927302128499691	6927302143225202	14725511	4	131334144
14	dp-pp	6927303554041466	6927303652361819	98320353	54534144	33554432
14	pp-dp	6927303666357699	6927303667143266	785567	33554432	131338240
14	dp-pp	6927304894046820	6927306261062327	1367015507	54534144	33554432
14	pp-dp	6927306275836308	6927308265730448	1989894140	33554432	525352960
14	dp-pp	6927310927471455	6927310927473216	1761	218136576	33554432
14	pp-dp	6927310935782466	6927310939221320	3438854	33554432	4
14	dp-pp	6927314317863577	6927314434830545	116966968	4	4
14	pp-dp	6927314435904626	6927314450736606	14831980	4	131334144
15	dp-pp	6927315845441170	6927315954037501	108596331	54534144	33554432
15	pp-dp	6927315967545682	6927315968230765	685083	33554432	131338240
15	dp-pp	6927317211299144	6927318569850993	1358551849	54534144	33554432
15	pp-dp	6927318584074407	6927320575534160	1991459753	33554432	525352960
15	dp-pp	6927323176540031	6927323176542624	2593	218136576	33554432
15	pp-dp	6927323184451621	6927323187890123	3438502	33554432	4
15	dp-pp	6927326648985548	6927326767514687	118529139	4	4
15	pp-dp	6927326768570935	6927326783268375	14697440	4	131334144
16	dp-pp	6927328171099061	6927328299001937	127902876	54534144	33554432
16	pp-dp	6927328313145715	6927328313813646	667931	33554432	131338240
16	dp-pp	6927329560280554	6927330932266846	1371986292	54534144	33554432
16	pp-dp	6927330945721433	6927332936867275	1991145842	33554432	525352960
16	dp-pp	6927335805421712	6927335805424880	3168	218136576	33554432
16	pp-dp	6927335813445365	6927335816876475	3431110	33554432	4
16	dp-pp	6927339198196019	6927339335429640	137233621	4	4
16	pp-dp	6927339336309002	6927339351066623	14757621	4	131334144
17	dp-pp	6927340727140812	6927340886502899	159362087	54534144	33554432
17	pp-dp	6927340901469147	6927340902142486	673339	33554432	131338240
17	dp-pp	6927342129334733	6927343505599758	1376265025	54534144	33554432
17	pp-dp	6927343519642567	6927345512802341	1993159774	33554432	525352960
17	dp-pp	6927348367185757	6927348367352708	166951	218136576	33554432
17	pp-dp	6927348374694864	6927348377971039	3276175	33554432	4
17	dp-pp	6927351718972218	6927351839678812	120706594	4	4
17	pp-dp	6927351841039490	6927351855423147	14383657	4	131334144
18	dp-pp	6927353214332803	6927353368329723	153996920	54534144	33554432
18	pp-dp	6927353382484559	6927353383256921	772362	33554432	131338240
18	dp-pp	6927354631346351	6927355997595360	1366249009	54534144	33554432
18	pp-dp	6927356011069467	6927358005324715	1994255248	33554432	525352960
18	dp-pp	6927360609335344	6927360609339281	3937	218136576	33554432
18	pp-dp	6927360617316460	6927360620752719	3436259	33554432	4
18	dp-pp	6927363955738720	6927364070408635	114669915	4	4
18	pp-dp	6927364071502752	6927364086185338	14682586	4	131334144
19	dp-pp	6927365498304322	6927365568039568	69735246	54534144	33554432
19	pp-dp	6927365581839065	6927365582512852	673787	33554432	131338240
19	dp-pp	6927366851713024	6927368215901809	1364188785	54534144	33554432
19	pp-dp	6927368229635450	6927370223808260	1994172810	33554432	525352960
19	dp-pp	6927372788400539	6927372788543423	142884	218136576	33554432
19	pp-dp	6927372796033354	6927372799327388	3294034	33554432	4
19	dp-pp	6927376114412771	6927376233607827	119195056	4	4
19	pp-dp	6927376234423311	6927376247960582	13537271	4	4
